ID,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATAL,INJURE,ACCIDENT_IDENTIFIER,SYSTEM_PART_INVOLVED,PIPE_FAC_NAME,DESIGNATED_LOCATION,FEDERAL,LOCATION_TYPE,INCIDENT_AREA_TYPE,CROSSING,PIPE_FACILITY_TYPE,INSTALLATION_YEAR,ITEM_INVOLVED,MATERIAL_INVOLVED,RELEASE_TYPE,WILDLIFE_IMPACT_IND,SOIL_CONTAMINATION,WATER_CONTAM_IND,COULD_BE_HCA,COMMODITY_REACHED_HCA,ACCIDENT_PSIG,ACCIDENT_PRESSURE,INTERNAL_INSPECTION_IND,OPERATION_COMPLICATIONS_IND,PIPELINE_FUNCTION,SCADA_IN_PLACE_IND,CPM_IN_PLACE_IND,CAUSE,CAUSE_DETAILS,EST_COST_OPER_PAID,EST_COST_GAS_RELEASED,EST_COST_PROP_DAMAGE,EST_COST_EMERGENCY,EST_COST_ENVIRONMENTAL,EST_COST_OTHER
120,38.792988,-89.084213,CRUDE OIL,9.0,0.0,9.0,0,0,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS",ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,"PATOKA - ROBINSON 20"" CRUDE",SURVEY STATION NO.,NO,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,UNDERGROUND,NO,INTERSTATE,2013,PIPE,CARBON STEEL,LEAK-PINHOLE,NO,YES,NO,YES,NO,130.0,PRESSURE DID NOT EXCEED MOP,UNKNOWN,UNKNOWN,< 20% SMYS REGULATED TRANSMISSION,YES,NO,CORROSION FAILURE,INTERNAL CORROSION,0.0,0.0,6665.0,6650.0,11620.0,0.0
122,35.957687,-96.72199,CRUDE OIL,10.0,0.0,10.0,0,0,OTHER,ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,SHINN PENCE,MILEPOST,NO,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,NO,INTERSTATE,1977,PUMP,MATERIAL OTHER THAN CARBON STEEL,LEAK-SEAL OR PACKING,NO,NO,NO,NO,NO,110.0,PRESSURE DID NOT EXCEED MOP,UNKNOWN,UNKNOWN,> 20% SMYS REGULATED TRANSMISSION,YES,NO,EQUIPMENT FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.0,1000.0,1500.0,5500.0,0.0,0.0
123,41.681762,-91.569554,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.24,0.0,0.24,0,0,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS",ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,IOWA CITY TERMINAL,MILEPOST,NO,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,NO,INTERSTATE,1988,FILTER/STRAINER/SEPARATOR,MATERIAL OTHER THAN CARBON STEEL,LEAK-CONNECTION FAILURE,NO,YES,NO,YES,YES,400.0,PRESSURE DID NOT EXCEED MOP,UNKNOWN,UNKNOWN,> 20% SMYS REGULATED TRANSMISSION,YES,YES,EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,0.0,35.0,50.0,3000.0,0.0,0.0
124,32.610176,-94.221463,CRUDE OIL,0.29,0.0,0.29,0,0,CONTROLLER,ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,KARNACK PUMP STATION,MILEPOST,NO,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,NO,INTERSTATE,2019,INSTRUMENTATION,MATERIAL OTHER THAN CARBON STEEL,LEAK-SEAL OR PACKING,NO,NO,NO,NO,NO,1491.0,PRESSURE EXCEEDED 110% OF MOP,UNKNOWN,UNKNOWN,> 20% SMYS REGULATED TRANSMISSION,YES,YES,EQUIPMENT FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0.0,30.0,10100.0,2400.0,0.0,0.0
125,40.27665,-96.68164,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,0.1,26.4,0.0,0,0,GROUND PATROL BY OPERATOR OR ITS CONTRACTOR,"ONSHORE PIPELINE, INCLUDING VALVE SITES",BEATRICE PUMP STATION,MILEPOST,NO,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,NO,INTERSTATE,UNKNOWN,VALVE,MATERIAL OTHER THAN CARBON STEEL,LEAK-SEAL OR PACKING,NO,NO,NO,NO,NO,1106.0,PRESSURE DID NOT EXCEED MOP,YES,NO,> 20% SMYS REGULATED TRANSMISSION,YES,YES,EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,0.0,900.0,0.0,11520.0,196440.0,0.0
126,32.0213285,-102.0165475,CRUDE OIL,25.0,0.0,25.0,0,0,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS",ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,MIDLAND TANK FARM,MILEPOST,NO,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,UNDERGROUND,NO,INTERSTATE,2018,PIPE,CARBON STEEL,LEAK-PINHOLE,NO,NO,NO,NO,NO,121.0,PRESSURE DID NOT EXCEED MOP,UNKNOWN,UNKNOWN,> 20% SMYS REGULATED TRANSMISSION,YES,NO,CORROSION FAILURE,INTERNAL CORROSION,0.0,1875.0,0.0,42000.0,0.0,0.0
127,33.847123,-101.570283,CRUDE OIL,3.0,0.0,3.0,0,0,NOTIFICATION FROM THIRD PARTY THAT CAUSED THE ACCIDENT,"ONSHORE PIPELINE, INCLUDING VALVE SITES",SLAUGHTER TO DRUMRIGHT #1,MILEPOST,NO,PIPELINE RIGHT-OF-WAY,UNDERGROUND,YES,INTERSTATE,1943,PIPE,CARBON STEEL,OTHER,NO,YES,NO,YES,NO,171.0,PRESSURE DID NOT EXCEED MOP,YES,NO,> 20% SMYS REGULATED TRANSMISSION,YES,YES,EXCAVATION DAMAGE,EXCAVATION DAMAGE BY THIRD PARTY,0.0,200.0,8100.0,5800.0,1000.0,0.0
128,41.735598,-89.574034,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.36,0.0,0.36,0,0,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS","ONSHORE PIPELINE, INCLUDING VALVE SITES",DES MOINES - CHICAGO JCT #6-12IN,MILEPOST,NO,PIPELINE RIGHT-OF-WAY,ABOVEGROUND,NO,INTERSTATE,2023,VALVE,CARBON STEEL,LEAK-CONNECTION FAILURE,NO,YES,NO,NO,NO,240.0,PRESSURE DID NOT EXCEED MOP,YES,NO,> 20% SMYS REGULATED TRANSMISSION,YES,YES,EQUIPMENT FAILURE,THREADED CONNECTION/COUPLING FAILURE,0.0,60.0,0.0,25000.0,0.0,0.0
129,31.661481,-103.722259,CRUDE OIL,1.24,0.0,0.0,0,0,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS","ONSHORE BREAKOUT TANK OR STORAGE VESSEL, INCLUDING ATTACHED APPURTENANCES",STAMPEDE TERMINAL,MILEPOST,NO,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,NO,INTRASTATE,2019,PUMP,MATERIAL OTHER THAN CARBON STEEL,OTHER,NO,YES,NO,NO,NO,140.0,PRESSURE DID NOT EXCEED MOP,UNKNOWN,UNKNOWN,> 20% SMYS REGULATED TRANSMISSION,NO,YES,EQUIPMENT FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.0,100.0,0.0,2000.0,1800.0,0.0
130,35.956143,-84.011078,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,2.09,0.0,2.09,0,0,NOTIFICATION FROM PUBLIC,"ONSHORE PIPELINE, INCLUDING VALVE SITES",8KX,SURVEY STATION NO.,NO,PIPELINE RIGHT-OF-WAY,UNDERGROUND,YES,INTERSTATE,1941,PIPE,CARBON STEEL,LEAK-PINHOLE,NO,YES,NO,YES,YES,155.0,PRESSURE DID NOT EXCEED MOP,YES,NO,> 20% SMYS REGULATED TRANSMISSION,YES,NO,CORROSION FAILURE,EXTERNAL CORROSION,7000.0,130.0,256000.0,739000.0,150000.0,13500.0
131,35.407812,-96.938466,CRUDE OIL,5.0,0.0,5.0,0,0,AIR PATROL,"ONSHORE PIPELINE, INCLUDING VALVE SITES",RED RIVER,MILEPOST,NO,PIPELINE RIGHT-OF-WAY,UNDERGROUND,NO,INTRASTATE,UNKNOWN,PIPE,CARBON STEEL,LEAK-PINHOLE,NO,YES,NO,YES,YES,100.0,PRESSURE DID NOT EXCEED MOP,YES,NO,> 20% SMYS REGULATED TRANSMISSION,YES,NO,OTHER OUTSIDE FORCE DAMAGE,OTHER OUTSIDE FORCE DAMAGE,0.0,400.0,33000.0,5000.0,12000.0,9500.0
132,32.01792115,-102.0269531,CRUDE OIL,4.1,0.0,4.1,0,0,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS",ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,MIDLAND MESA,MILEPOST,NO,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,NO,INTERSTATE,UNKNOWN,PUMP,MATERIAL OTHER THAN CARBON STEEL,LEAK-SEAL OR PACKING,NO,YES,NO,YES,NO,20.0,PRESSURE DID NOT EXCEED MOP,UNKNOWN,UNKNOWN,> 20% SMYS REGULATED TRANSMISSION,YES,YES,EQUIPMENT FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.0,214.0,10000.0,4700.0,0.0,0.0
134,32.239435,-95.026853,CRUDE OIL,2.0,0.0,2.0,0,0,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS",ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,ARP STATION,MILEPOST,NO,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,NO,INTRASTATE,UNKNOWN,FILTER/STRAINER/SEPARATOR,CARBON STEEL,LEAK-CONNECTION FAILURE,NO,YES,NO,NO,NO,130.0,PRESSURE DID NOT EXCEED MOP,UNKNOWN,UNKNOWN,> 20% SMYS REGULATED TRANSMISSION,YES,NO,EQUIPMENT FAILURE,THREADED CONNECTION/COUPLING FAILURE,0.0,152.0,366.0,0.0,1360.0,0.0
135,31.634323,-103.643447,CRUDE OIL,1.4,0.0,0.0,0,0,OTHER,ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,STAMPEDE TO ORYX DELIVERY POINT,MILEPOST,NO,PIPELINE RIGHT-OF-WAY,ABOVEGROUND,NO,INTRASTATE,2019,OTHER,MATERIAL OTHER THAN CARBON STEEL,LEAK-OTHER,NO,YES,NO,YES,YES,142.0,PRESSURE DID NOT EXCEED MOP,UNKNOWN,UNKNOWN,> 20% SMYS REGULATED TRANSMISSION,NO,YES,EQUIPMENT FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0.0,120.0,100.0,2000.0,2500.0,0.0
136,33.254259,-99.200372,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,4.0,0.0,2.4,0,0,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS",ONSHORE EQUIPMENT AND PIPING ASSOCIATED WITH BELOWGROUND STORAGE,TRUST 6/8 SYSTEM,SURVEY STATION NO.,NO,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,UNDERGROUND,NO,INTRASTATE,UNKNOWN,DRAIN LINES,CARBON STEEL,LEAK-CONNECTION FAILURE,NO,YES,NO,NO,NO,155.0,PRESSURE DID NOT EXCEED MOP,UNKNOWN,UNKNOWN,> 20% SMYS REGULATED TRANSMISSION,YES,YES,EQUIPMENT FAILURE,THREADED CONNECTION/COUPLING FAILURE,0.0,0.0,27095.0,12000.0,24355.0,0.0
137,30.618611,-94.969908,CRUDE OIL,30.0,0.0,30.0,0,0,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS",ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,GOODRICH STATION,SURVEY STATION NO.,NO,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,UNDERGROUND,NO,INTERSTATE,2014,"WELD, INCLUDING HEAT-AFFECTED ZONE",CARBON STEEL,LEAK-CRACK,NO,YES,NO,YES,NO,15.0,PRESSURE DID NOT EXCEED MOP,UNKNOWN,UNKNOWN,< 20% SMYS REGULATED TRANSMISSION,YES,YES,MATERIAL FAILURE OF PIPE OR WELD,"DESIGN-, CONSTRUCTION-, INSTALLATION-, OR FABRICATION-RELATED",0.0,0.0,45000.0,30000.0,75000.0,0.0
138,35.979163,-96.008245,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.3,0.0,0.3,0,0,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS",ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,GLENPOOL TANK FARM,MILEPOST,NO,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,NO,INTERSTATE,1971,DRAIN LINES,CARBON STEEL,OVERFILL OR OVERFLOW,NO,YES,NO,YES,YES,11.0,PRESSURE DID NOT EXCEED MOP,UNKNOWN,UNKNOWN,> 20% SMYS REGULATED TRANSMISSION,YES,YES,INCORRECT OPERATION,"TANK, VESSEL, OR SUMP/SEPARATOR ALLOWED OR CAUSED TO OVERFILL OR OVERFLOW",0.0,35.0,50.0,15500.0,5000.0,0.0
139,28.390831,-99.259294,CRUDE OIL,63.81,0.0,55.0,0,0,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS",ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,GARDENDALE PUMP STATION,SURVEY STATION NO.,NO,"ORIGINATED ON OPERATOR-CONTROLLED PROPERTY, BUT THEN FLOWED OR MIGRATED OFF THE PROPERTY",ABOVEGROUND,NO,INTRASTATE,2022,DRAIN LINES,CARBON STEEL,LEAK-CRACK,NO,YES,NO,NO,NO,367.0,PRESSURE DID NOT EXCEED MOP,UNKNOWN,UNKNOWN,> 20% SMYS REGULATED TRANSMISSION,YES,NO,EQUIPMENT FAILURE,THREADED CONNECTION/COUPLING FAILURE,0.0,4700.0,500.0,1800.0,69500.0,26100.0
140,37.041139,-87.278556,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,869.0,0.0,20.0,0,0,CPM LEAK DETECTION SYSTEM,"ONSHORE PIPELINE, INCLUDING VALVE SITES",WHITING TO DICKSON,MILEPOST,NO,PIPELINE RIGHT-OF-WAY,UNDERGROUND,NO,INTERSTATE,1977,PIPE,CARBON STEEL,RUPTURE-LONGITUDINAL,NO,YES,YES,NO,NO,809.0,PRESSURE DID NOT EXCEED MOP,YES,NO,> 20% SMYS REGULATED TRANSMISSION,YES,YES,EXCAVATION DAMAGE,EXCAVATION DAMAGE BY THIRD PARTY,0.0,124349.0,3800000.0,5200000.0,0.0,0.0
141,32.007869,-102.212344,CRUDE OIL,0.19,0.0,0.19,0,0,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS",ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,SPANISH TRAIL STATION,MILEPOST,NO,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,NO,INTRASTATE,UNKNOWN,INSTRUMENTATION,CARBON STEEL,OVERFILL OR OVERFLOW,NO,NO,NO,NO,NO,75.0,PRESSURE DID NOT EXCEED MOP,UNKNOWN,UNKNOWN,> 20% SMYS REGULATED GATHERING,NO,NO,EQUIPMENT FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0.0,15.0,6000.0,1200.0,0.0,0.0
142,45.765242,-108.465893,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.23,0.0,0.23,0,0,NOTIFICATION FROM PUBLIC,"ONSHORE PIPELINE, INCLUDING VALVE SITES",SEMINOE PIPELINE SYSTEM - BLOCK VALVE SITE 2.7,MILEPOST,NO,PIPELINE RIGHT-OF-WAY,ABOVEGROUND,NO,INTERSTATE,UNKNOWN,VALVE,CARBON STEEL,LEAK-CONNECTION FAILURE,NO,NO,NO,YES,NO,1770.0,PRESSURE DID NOT EXCEED MOP,YES,NO,> 20% SMYS REGULATED TRANSMISSION,NO,NO,EQUIPMENT FAILURE,THREADED CONNECTION/COUPLING FAILURE,0.0,50.0,32888.0,13218.0,0.0,0.0
143,33.72999,-101.87244,CRUDE OIL,0.3,0.0,0.3,0,0,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS",ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,MONROE STATION,MILEPOST,NO,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,UNDERGROUND,NO,INTERSTATE,2012,RELIEF LINE AND RELIEF EQUIPMENT,CARBON STEEL,LEAK-PINHOLE,NO,YES,NO,NO,NO,20.0,PRESSURE DID NOT EXCEED MOP,UNKNOWN,UNKNOWN,> 20% SMYS REGULATED TRANSMISSION,NO,NO,CORROSION FAILURE,INTERNAL CORROSION,0.0,24.0,1500.0,500.0,500.0,0.0
144,33.84489,-118.233767,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,4.93,0.0,4.93,0,0,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS",ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,SFPP WATSON STATION,SURVEY STATION NO.,NO,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,UNDERGROUND,NO,INTERSTATE,UNKNOWN,VALVE,CARBON STEEL,LEAK-SEAL OR PACKING,NO,YES,NO,YES,YES,10.0,PRESSURE DID NOT EXCEED MOP,UNKNOWN,UNKNOWN,> 20% SMYS REGULATED TRANSMISSION,YES,NO,EQUIPMENT FAILURE,THREADED CONNECTION/COUPLING FAILURE,0.0,588.0,147009.0,549309.0,209978.0,0.0
145,29.886251,-93.993776,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.3,0.0,0.3,0,0,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS",ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,PORT ARTHUR PRODUCTS SYSTEM,SURVEY STATION NO.,NO,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,NO,INTERSTATE,UNKNOWN,FLANGE ASSEMBLY,CARBON STEEL,LEAK-CONNECTION FAILURE,NO,YES,NO,YES,YES,731.0,"PRESSURE EXCEEDED MOP, BUT DID NOT EXCEED 110% OF MOP",UNKNOWN,UNKNOWN,> 20% SMYS REGULATED TRANSMISSION,YES,NO,EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,0.0,0.0,6000.0,7000.0,8500.0,1600.0
146,32.229498,-98.844408,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,3.6,0.0,0.0,0,0,NOTIFICATION FROM PUBLIC,"ONSHORE PIPELINE, INCLUDING VALVE SITES",LSX II,SURVEY STATION NO.,NO,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,NO,INTERSTATE,2020,VALVE,CARBON STEEL,LEAK-OTHER,NO,NO,NO,NO,NO,605.0,PRESSURE DID NOT EXCEED MOP,YES,NO,> 20% SMYS REGULATED TRANSMISSION,YES,YES,EQUIPMENT FAILURE,OTHER EQUIPMENT FAILURE,0.0,110.0,100.0,0.0,0.0,0.0
147,33.84548,-118.23015,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.5,0.0,0.5,0,0,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS",ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,SFPP WATSON STATION,MILEPOST,NO,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,NO,INTERSTATE,2023,DRAIN LINES,CARBON STEEL,OVERFILL OR OVERFLOW,NO,NO,NO,YES,YES,0.0,PRESSURE DID NOT EXCEED MOP,UNKNOWN,UNKNOWN,< 20% SMYS REGULATED TRANSMISSION,YES,NO,INCORRECT OPERATION,"TANK, VESSEL, OR SUMP/SEPARATOR ALLOWED OR CAUSED TO OVERFILL OR OVERFLOW",0.0,0.0,8000.0,6000.0,0.0,0.0
148,32.52218794,-103.5244149,CRUDE OIL,2.0,0.0,2.0,0,0,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS",ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,LYNCH 176 STATION,MILEPOST,NO,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,NO,INTERSTATE,UNKNOWN,VALVE,CARBON STEEL,LEAK-CRACK,NO,YES,NO,NO,NO,379.0,PRESSURE DID NOT EXCEED MOP,UNKNOWN,UNKNOWN,> 20% SMYS REGULATED TRANSMISSION,YES,YES,NATURAL FORCE DAMAGE,TEMPERATURE,0.0,160.0,1000.0,8000.0,0.0,0.0
149,34.422532,-118.584847,CRUDE OIL,170.2,0.0,170.2,0,0,OTHER,"ONSHORE PIPELINE, INCLUDING VALVE SITES","L2000 EMIDIO TO WILMINGTON 20""",MILEPOST,NO,PIPELINE RIGHT-OF-WAY,UNDERGROUND,NO,INTRASTATE,1998,VALVE,CARBON STEEL,LEAK-OTHER,NO,YES,NO,YES,NO,768.0,PRESSURE DID NOT EXCEED MOP,YES,NO,> 20% SMYS REGULATED TRANSMISSION,YES,YES,EQUIPMENT FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0.0,0.0,62537.0,261051.0,0.0,0.0
150,29.74191667,-91.44263889,CRUDE OIL,1.0,0.0,1.0,0,0,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS","ONSHORE PIPELINE, INCLUDING VALVE SITES",ATCHAFALAYA PIPELINE (ATC-7),MILEPOST,NO,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,NO,INTRASTATE,1942,FLANGE ASSEMBLY,CARBON STEEL,LEAK-CONNECTION FAILURE,NO,NO,NO,YES,NO,530.0,PRESSURE DID NOT EXCEED MOP,YES,NO,> 20% SMYS REGULATED TRANSMISSION,YES,NO,EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,0.0,0.0,30000.0,50000.0,35000.0,0.0
151,30.137113,-91.248846,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,1.91,13.16,0.0,0,0,NOTIFICATION FROM PUBLIC,"ONSHORE PIPELINE, INCLUDING VALVE SITES",CENTRAL EAST REGION - AMMONIA MAIN LINE,MILEPOST,NO,PIPELINE RIGHT-OF-WAY,UNDERGROUND,NO,INTERSTATE,1997,"TAP FITTING(STOPPLE, THREAD-O-RING, WELD-O-LET, ETC.)",MATERIAL OTHER THAN CARBON STEEL,LEAK-SEAL OR PACKING,NO,NO,YES,YES,YES,948.0,PRESSURE DID NOT EXCEED MOP,YES,NO,> 20% SMYS REGULATED TRANSMISSION,YES,YES,EQUIPMENT FAILURE,THREADED CONNECTION/COUPLING FAILURE,0.0,2134.0,171000.0,25000.0,0.0,0.0
152,32.876225,-91.052649,CRUDE OIL,3.0,0.0,3.0,0,0,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS",ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,MAYERSVILLE STATION,MILEPOST,NO,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,NO,INTERSTATE,1949,PIPE,CARBON STEEL,LEAK-PINHOLE,NO,YES,NO,YES,NO,5.0,PRESSURE DID NOT EXCEED MOP,UNKNOWN,UNKNOWN,> 20% SMYS REGULATED TRANSMISSION,YES,NO,CORROSION FAILURE,INTERNAL CORROSION,0.0,246.0,0.0,26050.0,17430.0,0.0
153,32.26162,-101.27817,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,0.1,0.1,0.0,0,0,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS","ONSHORE PIPELINE, INCLUDING VALVE SITES",WEST TEXAS LPG (23415) COAHOMA,MILEPOST,NO,PIPELINE RIGHT-OF-WAY,UNDERGROUND,YES,INTERSTATE,2023,"WELD, INCLUDING HEAT-AFFECTED ZONE",CARBON STEEL,OTHER,NO,NO,NO,YES,NO,2.0,PRESSURE DID NOT EXCEED MOP,YES,NO,> 20% SMYS REGULATED TRANSMISSION,YES,YES,INCORRECT OPERATION,OTHER INCORRECT OPERATION ,0.0,4.0,0.0,0.0,0.0,6000.0
154,32.011721,-102.011467,CRUDE OIL,3.4,0.0,3.4,0,0,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS",ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,MIDLAND BAIN,MILEPOST,NO,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,NO,INTERSTATE,2015,METER/PROVER,CARBON STEEL,LEAK-CONNECTION FAILURE,NO,YES,NO,NO,NO,35.0,PRESSURE DID NOT EXCEED MOP,UNKNOWN,UNKNOWN,> 20% SMYS REGULATED TRANSMISSION,YES,YES,EQUIPMENT FAILURE,THREADED CONNECTION/COUPLING FAILURE,0.0,187.0,20000.0,10000.0,0.0,0.0
155,30.252652,-96.8834,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,2.0,0.0,0.0,0,0,NOTIFICATION FROM PUBLIC,"ONSHORE PIPELINE, INCLUDING VALVE SITES",SEMINOLE BLUE MAINLINE,MILEPOST,NO,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,NO,INTRASTATE,1981,VALVE,CARBON STEEL,LEAK-SEAL OR PACKING,NO,NO,NO,NO,NO,1178.0,PRESSURE DID NOT EXCEED MOP,YES,NO,> 20% SMYS REGULATED TRANSMISSION,YES,YES,EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,0.0,21.0,500.0,385.0,0.0,0.0
156,31.75843,-104.96252,CRUDE OIL,12.2,0.0,0.3,0,0,NOTIFICATION FROM PUBLIC,"ONSHORE PIPELINE, INCLUDING VALVE SITES","EL PASO - WINK 20""",MILEPOST,NO,PIPELINE RIGHT-OF-WAY,UNDERGROUND,NO,INTERSTATE,1957,PIPE,CARBON STEEL,LEAK-PINHOLE,NO,YES,NO,NO,NO,535.0,PRESSURE DID NOT EXCEED MOP,YES,NO,> 20% SMYS REGULATED TRANSMISSION,YES,NO,CORROSION FAILURE,EXTERNAL CORROSION,0.0,944.0,128031.0,13500.0,22258.0,0.0
